date,Q,CD,HD,lnQ,month_name,dlnQ,dCD,dHD,DX70,DX90,days_in_month,prop_days_over_90,prop_days_under_70
2007-06-01,3436,27.733333333333334,0.0,8.142063283104147,Jun,0.263150370807014,8.120430107526882,0.0,30,30,30,1.0,0.0
2007-07-01,4399,30.806451612903224,0.0,8.389132521348719,Jul,0.2470692382445722,3.07311827956989,0.0,31,31,31,1.0,0.0
2007-08-01,4277,31.193548387096776,0.0,8.361007108226909,Aug,-0.0281254131218098,0.3870967741935516,0.0,31,31,31,1.0,0.0
2007-09-01,4055,25.366666666666667,0.0,8.307705966549513,Sep,-0.0533011416773963,-5.826881720430109,0.0,30,28,30,0.9333333333333333,0.0
2007-10-01,2574,13.193548387096774,0.0,7.853216388156072,Oct,-0.4544895783934404,-12.173118279569891,0.0,31,20,31,0.6451612903225806,0.0
2007-11-01,1999,6.066666666666666,1.0333333333333334,7.6004023345004,Nov,-0.2528140536556726,-7.126881720430108,1.0333333333333334,26,6,30,0.2,0.13333333333333333
2007-12-01,2352,0.0,11.806451612903226,7.763021309018518,Dec,0.1626189745181179,-6.066666666666666,10.773118279569893,5,0,31,0.0,0.8387096774193549
2008-01-01,2632,0.0,10.32258064516129,7.875499292445208,Jan,0.1124779834266904,0.0,-1.483870967741936,4,0,31,0.0,0.8709677419354839
2008-02-01,2306,0.3793103448275862,7.137931034482759,7.743269700829004,Feb,-0.1322295916162037,0.3793103448275862,-3.184649610678531,12,0,29,0.0,0.5862068965517241
2008-03-01,1995,3.3870967741935485,1.7419354838709675,7.598399329323964,Mar,-0.1448703715050401,3.007786429365962,-5.395995550611791,27,0,31,0.0,0.12903225806451613
2008-04-01,1854,9.0,0.0,7.5251007461258,Apr,-0.0732985831981638,5.612903225806452,-1.7419354838709675,30,8,30,0.26666666666666666,0.0
2008-05-01,2307,13.64516129032258,0.1290322580645161,7.7437032581737535,May,0.2186025120479531,4.64516129032258,0.1290322580645161,31,20,31,0.6451612903225806,0.0
2008-06-01,3291,28.133333333333333,0.0,8.098946748943339,Jun,0.3552434907695856,14.488172043010753,-0.1290322580645161,30,30,30,1.0,0.0
2008-07-01,4276,29.870967741935484,0.0,8.360773272144936,Jul,0.2618265232015968,1.7376344086021511,0.0,31,31,31,1.0,0.0
2008-08-01,4264,27.93548387096774,0.0,8.357962965845681,Aug,-0.0028103062992546,-1.935483870967744,0.0,31,31,31,1.0,0.0
2008-09-01,3614,24.833333333333332,0.0,8.192570471152173,Sep,-0.1653924946935081,-3.102150537634408,0.0,30,30,30,1.0,0.0
2008-10-01,2603,13.0,0.1612903225806451,7.864419904994565,Oct,-0.3281505661576078,-11.833333333333332,0.1612903225806451,31,21,31,0.6774193548387096,0.0
2008-11-01,1920,3.3,1.1666666666666667,7.560080465021827,Nov,-0.3043394399727379,-9.7,1.0053763440860215,25,1,30,0.03333333333333333,0.16666666666666666
2008-12-01,2174,0.0,9.193548387096774,7.684324067681155,Dec,0.1242436026593276,-3.3,8.026881720430108,11,0,31,0.0,0.6451612903225806
2009-01-01,2422,0.2580645161290322,6.580645161290323,7.792348924113037,Jan,0.1080248564318822,0.2580645161290322,-2.612903225806451,18,0,31,0.0,0.41935483870967744
2009-02-01,1936,1.1071428571428572,5.392857142857143,7.568379267836522,Feb,-0.2239696562765152,0.849078341013825,-1.1877880184331795,17,0,28,0.0,0.39285714285714285
2009-03-01,1947,3.3225806451612905,0.8709677419354839,7.5740450053722,Mar,0.0056657375356774,2.2154377880184333,-4.521889400921659,30,1,31,0.03225806451612903,0.03225806451612903
2009-04-01,1779,7.2,0.7666666666666667,7.483806687665835,Apr,-0.0902383177063645,3.8774193548387097,-0.1043010752688171,28,7,30,0.23333333333333334,0.06666666666666667
2009-05-01,2765,21.129032258064516,0.0,7.9247959139564355,May,0.4409892262906005,13.929032258064517,-0.7666666666666667,31,29,31,0.9354838709677419,0.0
2009-06-01,3106,23.7,0.0,8.041091003708633,Jun,0.1162950897521977,2.5709677419354833,0.0,30,30,30,1.0,0.0
2009-07-01,4313,33.29032258064516,0.0,8.369388996647842,Jul,0.3282979929392091,9.59032258064516,0.0,31,31,31,1.0,0.0
2009-08-01,4340,30.193548387096776,0.0,8.375629627094451,Aug,0.0062406304466087,-3.0967741935483843,0.0,31,31,31,1.0,0.0
2009-09-01,3629,25.0,0.0,8.19671240721307,Sep,-0.1789172198813808,-5.193548387096776,0.0,30,30,30,1.0,0.0
2009-10-01,2441,10.193548387096774,0.7741935483870968,7.80016307039296,Oct,-0.3965493368201098,-14.806451612903226,0.7741935483870968,28,8,31,0.25806451612903225,0.0967741935483871
2009-11-01,1884,4.033333333333333,1.6333333333333333,7.5411524551363085,Nov,-0.2590106152566518,-6.160215053763441,0.8591397849462366,27,5,30,0.16666666666666666,0.1
2009-12-01,2285,0.0,11.32258064516129,7.734121303328305,Dec,0.1929688481919962,-4.033333333333333,9.689247311827955,6,0,31,0.0,0.8064516129032258
2010-01-01,2447,0.0,7.580645161290323,7.802618063442671,Jan,0.0684967601143666,0.0,-3.741935483870967,13,0,31,0.0,0.5806451612903226
2010-02-01,1981,0.0,5.892857142857143,7.591357046698551,Feb,-0.2112610167441202,0.0,-1.6877880184331795,13,0,28,0.0,0.5357142857142857
2010-03-01,1982,1.2258064516129032,3.4838709677419355,7.591861714889934,Mar,0.0005046681913825,1.2258064516129032,-2.4089861751152077,22,0,31,0.0,0.2903225806451613
2010-04-01,1821,6.2,0.6,7.507141079727608,Apr,-0.0847206351623253,4.974193548387097,-2.8838709677419354,28,6,30,0.2,0.06666666666666667
2010-05-01,2248,13.225806451612904,0.0,7.717796211013582,May,0.2106551312859732,7.025806451612904,-0.6,31,21,31,0.6774193548387096,0.0
2010-06-01,3356,26.233333333333334,0.0,8.118505067587098,Jun,0.4007088565735159,13.00752688172043,0.0,30,29,30,0.9666666666666667,0.0
2010-07-01,4439,31.741935483870968,0.0,8.398184404834035,Jul,0.2796793372469377,5.508602150537634,0.0,31,30,31,0.967741935483871,0.0
2010-08-01,4123,29.032258064516128,0.0,8.3243363327069,Aug,-0.0738480721271344,-2.70967741935484,0.0,31,30,31,0.967741935483871,0.0
2010-09-01,3576,26.5,0.0,8.182000136293405,Sep,-0.1423361964134954,-2.532258064516128,0.0,30,30,30,1.0,0.0
2010-10-01,2442,12.709677419354838,0.0,7.80057265467065,Oct,-0.3814274816227554,-13.790322580645162,0.0,31,15,31,0.4838709677419355,0.0
2010-11-01,1833,2.6333333333333333,4.6,7.513709247839705,Nov,-0.2868634068309452,-10.076344086021503,4.6,22,1,30,0.03333333333333333,0.26666666666666666
2010-12-01,2201,0.1290322580645161,5.548387096774194,7.696667081526462,Dec,0.182957833686757,-2.5043010752688173,0.9483870967741944,20,0,31,0.0,0.3548387096774194
2011-01-01,2461,0.0,9.32258064516129,7.808323050391056,Jan,0.1116559688645937,-0.1290322580645161,3.774193548387096,16,0,31,0.0,0.4838709677419355
2011-02-01,2144,0.0,9.75,7.670428522190693,Feb,-0.1378945282003627,0.0,0.4274193548387099,12,0,28,0.0,0.5714285714285714
2011-03-01,1891,3.6774193548387095,0.8387096774193549,7.544861068658458,Mar,-0.125567453532235,3.6774193548387095,-8.911290322580646,29,3,31,0.0967741935483871,0.06451612903225806
2011-04-01,1964,10.133333333333333,0.9,7.582738488914411,Apr,0.0378774202559535,6.455913978494623,0.0612903225806451,28,10,30,0.3333333333333333,0.06666666666666667
2011-05-01,2295,13.741935483870968,0.0,7.738488122494646,May,0.1557496335802346,3.608602150537635,-0.9,31,19,31,0.6129032258064516,0.0
2011-06-01,3300,25.766666666666666,0.0,8.101677747454572,Jun,0.3631896249599258,12.024731182795698,0.0,30,30,30,1.0,0.0
2011-07-01,4308,30.193548387096776,0.0,8.36822903827628,Jul,0.2665512908217078,4.42688172043011,0.0,31,31,31,1.0,0.0
2011-08-01,4480,33.25806451612903,0.0,8.40737832540903,Aug,0.0391492871327514,3.064516129032256,0.0,31,31,31,1.0,0.0
2011-09-01,3607,26.366666666666667,0.0,8.19063168090354,Sep,-0.2167466445054913,-6.891397849462365,0.0,30,30,30,1.0,0.0
2011-10-01,2392,13.806451612903226,0.0,7.779885115070522,Oct,-0.4107465658330174,-12.56021505376344,0.0,31,21,31,0.6774193548387096,0.0
2011-11-01,1793,1.0,2.533333333333333,7.491645473605133,Nov,-0.2882396414653891,-12.806451612903226,2.533333333333333,24,0,30,0.0,0.2
2011-12-01,2445,0.0,11.806451612903226,7.801800401908973,Dec,0.3101549283038398,-1.0,9.273118279569893,7,0,31,0.0,0.7741935483870968
2012-01-01,2356,0.0967741935483871,6.387096774193548,7.764720544771477,Jan,-0.0370798571374955,0.0967741935483871,-5.419354838709678,18,0,31,0.0,0.41935483870967744
2012-02-01,1906,0.2068965517241379,4.896551724137931,7.552762084214147,Feb,-0.2119584605573301,0.1101223581757508,-1.4905450500556174,18,0,29,0.0,0.3793103448275862
2012-03-01,1903,3.2903225806451615,2.4193548387096775,7.551186867296149,Mar,-0.0015752169179981,3.0834260289210236,-2.477196885428253,26,1,31,0.03225806451612903,0.16129032258064516
2012-04-01,2017,10.4,0.3,7.6093665379542115,Apr,0.0581796706580624,7.109677419354838,-2.1193548387096777,29,16,30,0.5333333333333333,0.03333333333333333
2012-05-01,2738,19.516129032258064,0.0,7.914983005848394,May,0.3056164678941826,9.116129032258064,-0.3,31,29,31,0.9354838709677419,0.0
2012-06-01,3726,28.733333333333334,0.0,8.223090551161533,Jun,0.3081075453131392,9.21720430107527,0.0,30,30,30,1.0,0.0
2012-07-01,4137,28.870967741935484,0.0,8.327726166461412,Jul,0.1046356152998786,0.1376344086021497,0.0,31,31,31,1.0,0.0
2012-08-01,4304,30.322580645161292,0.0,8.36730010184162,Aug,0.0395739353802078,1.4516129032258078,0.0,31,31,31,1.0,0.0
2012-09-01,3393,23.633333333333333,0.0,8.129469764784231,Sep,-0.2378303370573888,-6.689247311827959,0.0,30,28,30,0.9333333333333333,0.0
2012-10-01,2399,13.838709677419354,0.0,7.782807262839695,Oct,-0.3466625019445359,-9.79462365591398,0.0,31,20,31,0.6451612903225806,0.0
2012-11-01,1837,4.366666666666666,0.9333333333333332,7.515889085215125,Nov,-0.2669181776245697,-9.472043010752689,0.9333333333333332,28,3,30,0.1,0.06666666666666667
2012-12-01,2207,0.1612903225806451,8.419354838709678,7.699389406256737,Dec,0.1835003210416115,-4.205376344086021,7.486021505376344,13,0,31,0.0,0.5806451612903226
2013-01-01,2684,0.1290322580645161,11.516129032258064,7.895063498091573,Jan,0.195674091834836,-0.032258064516129,3.096774193548386,9,0,31,0.0,0.7096774193548387
2013-02-01,2068,0.0714285714285714,7.964285714285714,7.63433723562832,Feb,-0.2607262624632529,-0.0576036866359447,-3.5518433179723496,13,0,28,0.0,0.5357142857142857
2013-03-01,1940,5.645161290322581,1.096774193548387,7.570443252057374,Mar,-0.0638939835709457,5.57373271889401,-6.867511520737327,29,3,31,0.0967741935483871,0.06451612903225806
2013-04-01,1966,10.333333333333334,0.0,7.583756300707112,Apr,0.0133130486497377,4.688172043010753,-1.096774193548387,30,15,30,0.5,0.0
2013-05-01,2684,18.93548387096774,0.0,7.895063498091573,May,0.311307197384461,8.602150537634406,0.0,31,27,31,0.8709677419354839,0.0
2013-06-01,3812,29.8,0.0,8.245909264774093,Jun,0.3508457666825206,10.86451612903226,0.0,30,30,30,1.0,0.0
2013-07-01,4371,30.677419354838708,0.0,8.382747094863314,Jul,0.1368378300892203,0.8774193548387075,0.0,31,30,31,0.967741935483871,0.0
2013-08-01,4076,29.677419354838708,0.0,8.312871394342615,Aug,-0.0698757005206989,-1.0,0.0,31,30,31,0.967741935483871,0.0
2013-09-01,3339,23.7,0.0,8.113426639943654,Sep,-0.1994447543989608,-5.977419354838709,0.0,30,26,30,0.8666666666666667,0.0
2013-10-01,2063,9.612903225806452,0.064516129032258,7.631916513071252,Oct,-0.4815101268724024,-14.087096774193547,0.064516129032258,31,11,31,0.3548387096774194,0.0
2013-11-01,1766,3.533333333333333,1.8666666666666667,7.476472381163905,Nov,-0.1554441319073465,-6.079569892473119,1.8021505376344087,26,3,30,0.1,0.13333333333333333
2013-12-01,2334,0.0,8.709677419354838,7.755338812846501,Dec,0.2788664316825961,-3.533333333333333,6.843010752688171,15,0,31,0.0,0.5161290322580645
2014-01-01,2300,0.064516129032258,5.161290322580645,7.7406644019172415,Jan,-0.0146744109292598,0.064516129032258,-3.548387096774193,23,0,31,0.0,0.25806451612903225
2014-02-01,1804,1.9285714285714288,2.5,7.497761700622568,Feb,-0.2429027012946729,1.8640552995391704,-2.661290322580645,21,0,28,0.0,0.25
2014-03-01,1791,4.225806451612903,0.2258064516129032,7.490529402060711,Mar,-0.0072322985618571,2.297235023041474,-2.274193548387097,30,0,31,0.0,0.03225806451612903
2014-04-01,1931,10.033333333333331,0.1666666666666666,7.565793282428515,Apr,0.0752638803678031,5.80752688172043,-0.0591397849462365,30,12,30,0.4,0.0
2014-05-01,2574,18.129032258064516,0.0,7.853216388156072,May,0.2874231057275578,8.095698924731183,-0.1666666666666666,31,24,31,0.7741935483870968,0.0
2014-06-01,3705,28.2,0.0,8.217438537730187,Jun,0.3642221495741147,10.070967741935483,0.0,30,30,30,1.0,0.0
2014-07-01,4377,31.483870967741936,0.0,8.384118837190895,Jul,0.1666802994607081,3.2838709677419367,0.0,31,31,31,1.0,0.0
2014-08-01,3913,26.548387096774192,0.0,8.272059622210412,Aug,-0.1120592149804835,-4.935483870967744,0.0,31,31,31,1.0,0.0
2014-09-01,3434,24.0,0.0,8.141481041457421,Sep,-0.1305785807529904,-2.548387096774192,0.0,30,26,30,0.8666666666666667,0.0
2014-10-01,2431,14.96774193548387,0.0,7.796057974316123,Oct,-0.3454230671412981,-9.03225806451613,0.0,31,24,31,0.7741935483870968,0.0
2014-11-01,1842,2.966666666666667,1.8666666666666667,7.518607216815252,Nov,-0.2774507575008709,-12.001075268817203,1.8666666666666667,29,1,30,0.03333333333333333,0.03333333333333333
2014-12-01,2242,0.2580645161290322,7.548387096774194,7.715123603632105,Dec,0.1965163868168531,-2.7086021505376348,5.681720430107527,11,0,31,0.0,0.6451612903225806
2015-01-01,2343,0.0,6.387096774193548,7.759187438507795,Jan,0.0440638348756898,-0.2580645161290322,-1.161290322580646,19,0,31,0.0,0.3870967741935484
2015-02-01,1703,1.6071428571428572,1.0,7.440146680662688,Feb,-0.3190407578451069,1.6071428571428572,-5.387096774193548,26,0,28,0.0,0.07142857142857142
2015-03-01,1976,8.03225806451613,0.8387096774193549,7.588829878307813,Mar,0.1486831976451244,6.425115207373272,-0.1612903225806451,29,7,31,0.22580645161290322,0.06451612903225806
2015-04-01,1961,9.3,0.0,7.581209826196346,Apr,-0.0076200521114664,1.2677419354838708,-0.8387096774193549,30,10,30,0.3333333333333333,0.0
2015-05-01,2313,13.741935483870968,0.0,7.746300662231439,May,0.1650908360350929,4.441935483870967,0.0,31,17,31,0.5483870967741935,0.0
2015-06-01,3750,29.033333333333335,0.0,8.229511118964457,Jun,0.4832104567330173,15.291397849462369,0.0,30,30,30,1.0,0.0
2015-07-01,4223,29.677419354838708,0.0,8.348301054933943,Jul,0.1187899359694864,0.6440860215053732,0.0,31,31,31,1.0,0.0
2015-08-01,4412,31.64516129032258,0.0,8.392083380373393,Aug,0.0437823254394498,1.967741935483872,0.0,31,31,31,1.0,0.0
