earn_per_hour,age,grade92,sex,race,marital,ownchild,emp_class,uhours
19.2,20,40,2,1,7,0,"Private, Nonprofit",15
10.575,39,39,2,1,7,1,Government - State,40
8.09,40,35,2,1,1,1,"Private, For Profit",40
11.5,35,39,2,1,1,2,"Private, For Profit",40
15.0,50,39,2,1,5,0,"Private, For Profit",40
10.0,51,39,1,2,7,0,"Private, For Profit",40
8.5,21,39,2,1,5,0,"Private, For Profit",20
8.5,52,36,1,2,1,0,"Private, For Profit",32
25.0,43,39,1,1,1,1,"Private, For Profit",40
9.375,20,40,2,1,7,1,"Private, For Profit",16
8.5,19,40,2,1,6,0,Government - State,10
11.0,52,39,1,2,7,0,"Private, For Profit",40
32.2115,61,44,1,1,1,0,Government - State,40
18.025,57,40,2,1,1,0,"Private, For Profit",40
18.630000000000003,57,39,1,1,5,0,"Private, For Profit",40
11.0,37,33,2,1,1,4,"Private, For Profit",40
10.0,23,39,1,1,7,0,"Private, For Profit",40
14.4,37,40,2,1,1,1,"Private, For Profit",40
25.0,39,39,1,1,1,1,"Private, For Profit",40
29.8125,51,40,1,1,1,0,"Private, For Profit",40
14.919999999999998,54,35,2,1,1,0,"Private, For Profit",40
15.25,57,39,1,1,1,0,"Private, For Profit",40
12.5,26,41,1,1,1,0,"Private, For Profit",40
23.075,43,39,1,1,1,2,"Private, Nonprofit",40
14.4,24,43,1,1,7,0,"Private, For Profit",40
