female,age,education,ln_wage
1,52,PhD,3.767436443269483
1,29,MA,3.5152698379220033
0,51,PhD,3.5160130560907366
1,53,MA,4.27826553371462
0,54,MA,3.398230020434353
1,34,MA,3.710280068654017
1,39,MA,3.8623074131822133
1,38,PhD,4.0551219824004106
1,34,PhD,3.3918263375354827
1,57,MA,3.686376323895818
1,43,MA,2.772588722239781
1,37,MA,1.9830530028776092
1,55,MA,3.8215032083968707
1,46,MA,3.332204510175204
0,36,MA,4.0551219824004106
1,36,MA,3.348548783300035
1,31,Professional,3.0091419604639085
1,29,PhD,3.7669972333778885
0,36,MA,2.667228206581955
1,49,MA,2.667228206581955
1,43,MA,4.237362069057025
0,43,MA,3.0742892627095375
0,30,MA,2.665490586683414
1,30,MA,3.159444241098774
0,62,Professional,4.054910492976694
1,44,MA,3.9681102902586276
0,34,PhD,2.665490586683414
1,34,PhD,3.159125820462427
0,30,MA,3.5543085603563087
0,36,MA,4.27826553371462
0,52,MA,1.347033647166588
0,52,MA,3.9681102902586276
1,26,MA,2.9562115153917077
1,34,MA,2.907720396230778
0,47,PhD,3.585114886475528
1,42,MA,2.8511399335700434
1,43,MA,3.295836866004329
0,54,MA,3.790420183668897
0,50,MA,3.926911617921897
1,40,MA,3.4001968813285717
0,26,MA,3.324236340526027
0,62,MA,3.8728004256064557
1,25,MA,3.3141860046725258
1,52,MA,2.8507065015037334
0,51,PhD,3.790420183668897
0,55,MA,3.7037242780189863
1,43,MA,3.2771447329921766
1,45,MA,3.472323531647176
1,27,MA,2.8731238644866113
0,28,MA,3.17161648838394
0,52,MA,3.685893751336057
1,49,MA,3.7701419303877053
0,37,MA,3.6982107815428207
1,43,PhD,3.3619713351613183
1,29,MA,2.6390573296152584
1,45,MA,3.5263605246161616
0,50,PhD,3.5626451821504634
1,25,Professional,3.0782334950657346
1,59,MA,3.1790949548563563
1,49,MA,4.406719247264253
1,43,MA,3.8319782144191064
0,51,MA,3.8728004256064557
0,55,MA,4.1604824980582364
1,48,MA,3.1041381473977774
1,54,MA,3.263994495441231
0,55,MA,3.3882877430405838
1,32,MA,3.324236340526027
0,58,MA,3.6030244330803667
1,58,MA,4.0551219824004106
0,28,MA,3.4011973816621555
1,58,MA,3.179646311676199
0,29,MA,3.710280068654017
1,27,MA,3.0742892627095375
0,41,MA,4.14609180118027
1,42,MA,3.4011973816621555
1,50,MA,3.334943612549703
0,41,MA,3.9781602479294143
1,45,Professional,3.5731879796177446
0,57,MA,3.76738251560188
1,55,MA,3.3105430133940246
1,33,MA,2.606939899733079
1,42,MA,3.0742892627095375
0,53,PhD,3.2561716096118976
0,54,MA,2.8358715725400945
1,51,MA,3.46182200347859
